user,project,issues
donnemartin,system-design-primer,165
azl397985856,leetcode,2
apache,superset,1.2k
keras-team,keras,251
tiangolo,fastapi,1.1k
home-assistant,core,1.6k
scikit-learn,scikit-learn,1.5k
ansible,ansible,670
pytorch,pytorch,5k+
pallets,flask,5
521xueweihan,HelloGitHub,52
django,django,
nvbn,thefuck,203
huggingface,transformers,399
justjavac,free-programming-books-zh_CN,
practical-tutorials,project-based-learning,16
vinta,awesome-python,16
CyC2018,CS-Notes,115
TheAlgorithms,Python,83
tensorflow,tensorflow,2.1k
