,user,project,issues
0,donnemartin,system-design-primer,165
1,keras-team,keras,251
2,tiangolo,fastapi,1.1k
3,scikit-learn,scikit-learn,1.5k
4,home-assistant,core,1.6k
5,apache,superset,1.2k
6,ansible,ansible,670
7,azl397985856,leetcode,2
8,521xueweihan,HelloGitHub,52
9,pytorch,pytorch,5k+
10,django,django,
11,pallets,flask,5
12,huggingface,transformers,399
13,nvbn,thefuck,203
14,practical-tutorials,project-based-learning,16
15,CyC2018,CS-Notes,115
16,TheAlgorithms,Python,83
17,tensorflow,tensorflow,2.1k
18,justjavac,free-programming-books-zh_CN,
19,vinta,awesome-python,16
