,user,project,issues
21,pytorch,pytorch,5000
33,pandas-dev,pandas,3464
32,tensorflow,tensorflow,2120
20,home-assistant,core,1564
17,scikit-learn,scikit-learn,1540
13,apache,superset,1208
16,tiangolo,fastapi,1124
12,yt-dlp,yt-dlp,725
19,ansible,ansible,670
11,ageitgey,face_recognition,664
8,scrapy,scrapy,512
24,huggingface,transformers,399
9,3b1b,manim,344
7,localstack,localstack,298
18,keras-team,keras,250
5,ryanoasis,nerd-fonts,222
23,nvbn,thefuck,203
0,psf,requests,190
31,donnemartin,system-design-primer,165
6,aymericdamien,TensorFlow-Examples,162
28,CyC2018,CS-Notes,115
4,jakevdp,PythonDataScienceHandbook,96
2,CorentinJ,Real-Time-Voice-Cloning,88
27,TheAlgorithms,Python,82
3,sherlock-project,sherlock,78
1,Textualize,rich,55
15,521xueweihan,HelloGitHub,52
10,serhii-londar,open-source-mac-os-apps,38
26,practical-tutorials,project-based-learning,16
25,vinta,awesome-python,16
30,faif,python-patterns,11
22,pallets,flask,5
29,apachecn,ailearning,2
14,azl397985856,leetcode,2
