,username,userurl,projname,projurl,stars,about,topics,update,forks,readme,release,contributors,languages,branches,open_issues,closed_issues,open_pulls,closed_pulls
6,pytorch,https://github.com/pytorch,pytorch,https://github.com/pytorch/pytorch,59864,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"['python', 'machine-learning', 'deep-learning', 'neural-network', 'gpu', 'numpy', 'autograd', 'tensor']","Oct 27, 2022",16694,https://github.com/pytorch/pytorch#readme,41,2514,"{'C++': 0.5, 'Python': 0.4, 'Cuda': 0.04, 'C': 0.02, 'Objective-C++': 0.01, 'CMake': 0.01}",8153,9555,19509,936,57658
16,apache,https://github.com/apache,superset,https://github.com/apache/superset,48775,Apache Superset is a Data Visualization and Data Exploration Platform,"['react', 'python', 'flask', 'data-science', 'bi', 'analytics', 'superset', 'apache', 'data-visualization', 'data-engineering', 'business-intelligence', 'data-viz', 'data-analytics', 'data-analysis', 'sql-editor', 'asf', 'business-analytics', 'apache-superset']","Oct 27, 2022",9696,https://github.com/apache/superset#readme,99,845,"{'TypeScript': 0.36, 'Python': 0.31, 'Jupyter Notebook': 0.14, 'JavaScript': 0.12, 'HTML': 0.06, 'Less': 0.01}",630,1232,7343,204,11850
8,huggingface,https://github.com/huggingface,transformers,https://github.com/huggingface/transformers,73050,"🤗Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","['python', 'nlp', 'machine-learning', 'natural-language-processing', 'deep-learning', 'tensorflow', 'pytorch', 'transformer', 'speech-recognition', 'seq2seq', 'flax', 'pretrained-models', 'language-models', 'nlp-library', 'language-model', 'hacktoberfest', 'bert', 'jax', 'pytorch-transformers', 'model-hub']","Oct 27, 2022",16689,https://github.com/huggingface/transformers#readme,105,1505,"{'Python': 0.99, 'Cuda': 0.01, 'Shell': 0.0, 'Dockerfile': 0.0, 'C++': 0.0, 'C': 0.0}",139,409,9834,151,9453
2,keras-team,https://github.com/keras-team,keras,https://github.com/keras-team/keras,56471,Deep Learning for humans,"['python', 'data-science', 'machine-learning', 'deep-learning', 'tensorflow', 'neural-networks']","Oct 27, 2022",19185,https://github.com/keras-team/keras#readme,43,1073,"{'Python': 0.97, 'Starlark': 0.02}",129,250,11254,81,5572
12,home-assistant,https://github.com/home-assistant,core,https://github.com/home-assistant/core,55509,🏡Open source home automation that puts local control and privacy first.,"['python', 'home-automation', 'mqtt', 'raspberry-pi', 'iot', 'internet-of-things', 'asyncio', 'hacktoberfest']","Oct 27, 2022",20189,https://github.com/home-assistant/core#readme,1005,2975,{'Python': 1.0},81,1575,31405,437,47180
9,tensorflow,https://github.com/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,168677,An Open Source Machine Learning Framework for Everyone,"['python', 'machine-learning', 'deep-neural-networks', 'deep-learning', 'neural-network', 'tensorflow', 'ml', 'distributed']","Oct 27, 2022",87364,https://github.com/tensorflow/tensorflow#readme,179,3222,"{'C++': 0.63, 'Python': 0.22, 'MLIR': 0.06, 'Starlark': 0.04, 'HTML': 0.02, 'Go': 0.01}",70,2114,33777,269,21782
17,ansible,https://github.com/ansible,ansible,https://github.com/ansible/ansible,55207,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems.","['python', 'ansible', 'hacktoberfest']","Oct 27, 2022",22603,https://github.com/ansible/ansible#readme,23089,5000,"{'Python': 0.88, 'PowerShell': 0.07, 'Shell': 0.03, 'C#': 0.02, 'Jinja': 0.0, 'Makefile': 0.0}",49,663,30216,329,47789
13,scikit-learn,https://github.com/scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,51872,scikit-learn: machine learning in Python,"['python', 'data-science', 'machine-learning', 'statistics', 'data-analysis']","Oct 27, 2022",23565,https://github.com/scikit-learn/scikit-learn#readme,30,2513,"{'Python': 0.92, 'Cython': 0.06, 'C++': 0.01}",27,1540,8169,595,13792
11,tiangolo,https://github.com/tiangolo,fastapi,https://github.com/tiangolo/fastapi,50898,"FastAPI framework, high performance, easy to learn, fast to code, ready for production","['python', 'api', 'json', 'framework', 'web', 'rest', 'json-schema', 'async', 'swagger', 'openapi', 'python3', 'asyncio', 'swagger-ui', 'redoc', 'openapi3', 'python-types', 'uvicorn', 'starlette', 'pydantic', 'fastapi']","Oct 27, 2022",4108,https://github.com/tiangolo/fastapi#readme,134,400,{'Python': 1.0},13,1119,2028,440,1462
3,pallets,https://github.com/pallets,flask,https://github.com/pallets/flask,60935,The Python micro framework for building web applications.,"['python', 'flask', 'web-framework', 'wsgi', 'jinja', 'werkzeug', 'pallets']","Oct 26, 2022",15317,https://github.com/pallets/flask#readme,23,682,{'Python': 1.0},7,5,2408,4,2269
