text,author,tags,born_date,born_location,desciption
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,"change,deep-thoughts,thinking,world","March 14, 1879","in Ulm, Germany","In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt,"October 11, 1884",in The United States,Anna Eleanor Roosevelt was an American political leader who used her influence as an active First La
"A day without sunshine is like, you know, night.",Steve Martin,"humor,obvious,simile","August 14, 1945","in Waco, Texas, The United States","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, musician,"
It is better to be hated for what you are than to be loved for what you are not.,André Gide,"life,love","November 22, 1869","in Paris, France",André Paul Guillaume Gide was a French author and winner of the Nobel Prize in literature in 1947. G
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"aliteracy,books,classic,humor","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom","Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, ea"
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"abilities,choices","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom","See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"be-yourself,inspirational","June 01, 1926",in The United States,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison,failure,inspirational,paraphrased","February 11, 1847","in Milan, Ohio, The United States","Thomas Alva Edison was an American inventor, scientist and businessman who developed many devices th"
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"books,contentment,friends,friendship,life","November 30, 1835","in Florida, Missouri, The United States","Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humori"
Life is what happens to us while we are making other plans.,Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans","April 24, 1899",in The United States,"Allen Saunders was an American writer, journalist and cartoonist who wrote the comic strips Steve Ro"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany",Friedrich Wilhelm Nietzsche (1844–1900) is a German philosopher of the late 19th century who challen
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","September 30, 1928","in Sighet, Romania","Eliezer Wiesel was a Romania-born American novelist, political activist, and Holocaust survivor of H"
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,"life,navigation","March 11, 1952","in Cambridge, England, The United Kingdom","Douglas Noël Adams was an English author, comic radio dramatist, and musician. He is best known as t"
"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,love,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica","Robert ""Bob"" Nesta Marley OM was a Jamaican singer, songwriter, guitarist, and activist. He was the "
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,fantasy,"March 02, 1904","in Springfield, MA, The United States","Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 192"
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,humor,"September 24, 1936","in Greenville, Mississippi, The United States","James Maury ""Jim"" Henson was the most widely known puppeteer in American television history. He was "
